时间,茅山头O3,茅山头CO,茅山头NO2,NO,2m温度℃,紫外线辐射J/m²,气压pa,相对湿度%,边界层高度m,风速m/s,茅山头PM2.5,茅山头SO2,CH₂O,异戊二烯,乙烷,丙烷,正丁烷,异丁烷,乙烯,丙醛,丙烯,甲苯,间、对-二甲苯,丙酮
2023-04-21 09:00:00,91,0.6,9,1.795382104,21.60626221,183016,100053.3516,80.33338928,683.4900513,5.807448864,27,9,3.620848778,0.036,2.812,1.325,1.093,1.118,1.034,1.022,0.267,0.579,0.246,2.529
2023-04-21 10:00:00,102,0.6,11,1.69171949,24.35699463,261024,100120.5313,74.39848328,831.1262207,5.844827175,25,9,3.812910033,0.049,2.812,1.145,0.865,1.051,0.977,1.076,0.239,0.459,0.188,2.366
2023-04-21 11:00:00,118,0.5,9,1.588056875,24.42779541,332072,100079.3438,68.96463013,1005.34613,5.988608837,30,10,4.004971288,0.061,2.419,1.285,0.635,0.923,0.547,1.011,0.259,0.374,0,2.119
2023-04-21 12:00:00,130,0.5,7,1.555657415,24.79257202,370784,100086.2969,63.32440567,1230.618652,5.905393124,28,9,3.880305333,0.061,2.526,1.191,0.594,0.892,0.531,1.118,0.221,0.463,0.093,2.131
2023-04-21 13:00:00,134,0.5,8,1.523257955,25.13482666,351528,100012.7891,60.4016571,1312.301758,5.789859295,26,9,3.755639379,0.117,2.758,1.157,0.534,0.745,0.558,1.142,0.235,0.306,0.074,2.118
2023-04-21 14:00:00,139,0.5,5,1.490858494,25.31930542,303088,99930.85156,58.64113617,1358.828125,5.765120983,19,9,3.630973424,0.105,2.321,1.06,0.509,0.771,0.434,1.251,0.303,0.314,0.086,2.325
2023-04-21 15:00:00,141,0.6,6,1.451711796,25.24145508,249136,99879.1875,57.34442902,1324.056763,5.504633904,19,9,3.638705342,0.099,2.408,1.225,0.438,0.812,0.528,1.111,0.311,0.307,0.087,2.047
2023-04-21 16:00:00,133,0.6,8,1.412565098,23.88989258,194144,99808.89063,57.57019043,1217.0177,5.363536358,23,9,3.646437259,0.087,2.325,0.937,0.384,0.693,0.356,1.085,0.404,0.268,0.08,2.065
2023-04-21 17:00:00,132,0.6,8,1.373418399,23.6038208,123536,99827.21875,61.65680695,959.8428345,4.93513155,16,7,3.654169177,0.071,2.44,1.098,0.415,0.629,0.415,1.025,0.341,0.246,0.082,2.015
2023-04-21 18:00:00,124,0.6,9,0.923123886,21.47714233,55088,99824.99219,66.04395294,679.5136108,4.810663223,20,9,3.924564984,0.029,2.555,1.123,0.336,0.586,0.905,0.801,0.254,0.283,0,1.547
2023-04-21 19:00:00,104,0.6,9,0.472829373,21.25952148,9904,99911.96875,68.14565277,649.9268799,5.362240791,29,8,4.19496079,0.026,2.676,1.435,0.517,0.685,0.741,0.794,0.377,0.228,0.115,1.546
2023-04-21 20:00:00,94,0.6,11,0.022534859,21.16055298,0,99994.48438,69.37221527,646.0098877,5.89209795,41,9,4.465356596,0,2.689,1.679,0.546,0.673,0.578,0.831,0.334,0.196,0.106,1.689
2023-04-21 21:00:00,100,0.6,12,0.016812825,21.0425415,0,100089.5938,71.87199402,633.8416138,6.235580444,41,9,4.745562819,0.021,2.946,1.297,0.468,0.66,0.688,0.84,0.42,0.209,0.114,1.613
2023-04-21 22:00:00,105,0.6,11,0.011090791,20.10952759,0,100145.1406,73.22652435,617.8154907,6.30013895,30,9,5.025769042,0.028,2.924,1.045,0.554,0.723,0.663,0.847,0.231,0.224,0.114,1.721
2023-04-21 23:00:00,106,0.5,12,0.005368756,18.84552002,0,100157.6875,72.22785187,592.8239746,6.213563442,20,10,5.305975264,0,2.99,1.002,0.429,0.642,0.546,0.731,0.314,0.245,0.102,1.568
2023-04-22 00:00:00,101,0.5,10,0.005907507,18.99349976,0,100134.8672,69.24610138,592.8713379,6.091973305,12,11,5.495414068,0.028,2.725,0.869,0.4,0.434,0.584,0.641,0.341,0.281,0.104,1.254
2023-04-22 01:00:00,90,0.4,10,0.006446259,18.03872681,0,100164.0625,65.91001892,567.3308716,5.691864014,15,11,5.684852871,0,4.46,1.08,0.448,0.551,0.46,0.591,0.278,0.205,0.116,1.233
2023-04-22 02:00:00,85,0.4,10,0.00698501,17.80566406,0,100122.2891,62.94657898,538.3971558,5.610983849,12,12,5.874291674,0,2.553,1.033,0.379,0.568,0.623,0.558,0.245,0.196,0.117,1.109
2023-04-22 03:00:00,83,0.4,9,0.012403365,17.26553345,0,100094.5156,60.75611877,509.1974182,5.712005615,18,9,6.134255879,0,2.607,1.067,0.348,0.43,0.404,0.501,0.141,0.2,0.123,1.055
2023-04-22 04:00:00,80,0.4,10,0.01782172,15.27456665,0,100102.5156,60.0177002,482.5037537,5.586599827,14,9,6.394220084,0,2.735,1.114,0.345,0.427,0.547,0.532,0.259,0.201,0.121,1.039
2023-04-22 05:00:00,79,0.4,9,0.023240075,15.07696533,0,100152.25,60.00954819,476.7414551,5.710301399,19,10,6.65418429,0,2.789,0.924,0.502,0.62,0.528,0.546,0.193,0.218,0.138,1.139
2023-04-22 06:00:00,75,0.4,10,0.730994381,14.15322876,344,100218.0781,71.03284454,420.5476074,5.688855171,17,12,6.574440704,0,2.778,0.623,0.323,0.515,0.33,0.495,0.194,0.246,0.12,0.981
2023-04-22 07:00:00,73,0.4,9,1.438748687,14.11654663,16000,100250.5391,73.61326599,442.714386,5.908791065,16,10,6.494697118,0,2.571,0.769,0.338,0.577,0.592,0.49,0.256,0.3,0.111,1.014
2023-04-22 08:00:00,67,0.4,13,2.146502993,14.16159058,33296,100301.8281,77.05744934,462.7468567,5.707171917,12,10,6.414953532,0.025,2.924,1.021,0.553,0.711,0.625,0.523,0.343,0.278,0.148,1.042
2023-04-22 09:00:00,62,0.5,17,2.511162923,14.14047241,49848,100316.9531,78.86306,472.1838989,5.469563961,12,10,6.28727624,0.019,2.887,0.709,0.436,0.663,0.716,0.529,0.28,0.269,0.164,1.077
2023-04-22 10:00:00,62,0.5,17,2.875822853,14.28701782,64720,100376.8828,82.12617493,458.5672607,5.1937356,20,10,6.159598949,0,2.635,0.601,0.344,0.576,0.9,0.477,0.238,0.271,0.105,0.907
2023-04-22 11:00:00,62,0.5,17,3.240482783,14.19952393,124416,100390.9609,83.71473694,459.4952087,5.345839977,20,8,6.031921657,0.023,2.601,0.836,0.597,0.685,0.647,0.511,0.286,0.28,0.128,1.027
2023-04-22 12:00:00,61,0.5,18,3.180469851,14.09844971,178896,100342.8125,85.03035736,461.8316345,5.521056175,18,7,5.953952495,0.04,3.309,1.312,0.891,0.956,1.033,0.548,0.504,0.322,0.148,1.263
2023-04-22 13:00:00,61,0.5,19,3.120456919,13.65460205,148632,100266.6563,84.02148438,465.3783569,5.498169422,14,8,5.875983334,0.027,3.027,1.232,0.666,0.745,0.578,0.549,0.34,0.301,0.112,1.126
2023-04-22 14:00:00,59,0.5,17,3.060443987,13.1937561,75408,100193.1094,83.33876038,476.742981,4.88977623,23,7,5.798014172,0.026,3.02,1.274,0.542,0.706,0.868,0.559,0.488,0.312,0.119,1.169
2023-04-22 15:00:00,60,0.5,17,2.783515583,12.88998413,72464,100167.0781,84.32244873,493.8270569,4.645289898,22,7,5.697233973,0,2.937,1.185,0.426,0.576,0.922,0.546,0.28,0.322,0.117,1.083
2023-04-22 16:00:00,62,0.6,17,2.50658718,12.2159729,50256,100135.9219,85.23764801,513.3919678,4.585589409,18,8,5.596453775,0.021,2.834,0.882,0.351,0.506,1.059,0.557,0.355,0.423,0.111,1.081
2023-04-22 17:00:00,66,0.5,18,2.229658776,12.25546265,21840,100190.2344,85.70932007,530.4681396,4.384738445,12,7,5.495673577,0,3.078,0.689,0.371,0.556,0.653,0.571,0.285,0.629,0.145,1.094
2023-04-22 18:00:00,67,0.5,15,1.496176319,11.443573,6552,100336.8125,88.00601196,583.288147,5.248894691,13,7,5.383408582,0,3.021,0.578,0.397,0.518,0.742,0.59,0.238,0.447,0.109,1.074
2023-04-22 19:00:00,71,0.5,6,0.762693863,11.73706055,1576,100352.8594,85.94720459,596.9873047,4.929344654,14,8,5.271143588,0,3.389,0.539,0.522,0.673,0.865,0.602,0.132,0.269,0.11,1.114
2023-04-22 20:00:00,74,0.5,14,0.029211407,12.03121948,0,100410.5391,85.97677612,573.0500488,4.466416836,18,7,5.158878594,0.028,3.481,0.323,0.508,0.643,1.016,0.6,0.226,0.22,0.098,1.157
2023-04-22 21:00:00,74,0.5,15,0.022673678,12.15274048,0,100457.1641,84.99720001,532.8678589,4.915417194,20,6,5.295281274,0.025,3.128,0.721,0.534,0.644,0.793,0.601,0.228,0.251,0.098,1.133
2023-04-22 22:00:00,77,0.5,13,0.016135949,12.15682983,0,100473.0469,83.61244202,515.3721924,4.744348049,22,7,5.431683955,0,3.238,0.66,0.515,0.576,0.73,0.627,0.139,0.233,0.118,1.202
2023-04-22 23:00:00,78,0.5,14,0.009598221,11.6390686,0,100507.9063,85.6137619,507.7153931,3.946405649,20,8,5.568086635,0.02,3.068,0.485,0.518,0.578,0.515,0.659,0.331,0.216,0.129,1.227
2023-04-23 00:00:00,83,0.5,12,0.009746243,11.7807312,0,100499.6094,86.05273438,500.7492065,3.464818478,20,7,5.496143634,0,3.031,0.685,0.405,0.648,0.752,0.671,0.196,0.249,0.153,1.324
2023-04-23 01:00:00,83,0.5,12,0.009894264,11.92745972,0,100488.6328,85.81991577,499.5019836,3.6329422,17,7,5.424200632,0.025,2.894,0.796,0.479,0.645,0.743,0.684,0.155,0.267,0.16,1.368
2023-04-23 02:00:00,84,0.5,11,0.010042286,12.09204102,0,100416.9297,85.69579315,509.9702759,3.650566816,16,8,5.352257631,0.025,3.102,1.061,0.484,0.62,0.814,0.696,0.166,0.299,0.182,1.315
2023-04-23 03:00:00,81,0.5,11,0.028332544,12.3397522,0,100442.3828,85.81549835,533.7311401,3.740188599,14,8,5.294398458,0,2.875,0.507,0.484,0.575,0.797,0.7,0.162,0.27,0.151,1.304
2023-04-23 04:00:00,77,0.5,9,0.046622802,12.18731689,0,100453.4531,86.18016052,567.369873,3.558667421,21,8,5.236539285,0,2.692,0.377,0.375,0.569,0.642,0.714,0.188,0.269,0.174,1.311
2023-04-23 05:00:00,76,0.5,9,0.06491306,12.07992554,0,100518.0313,85.88215637,611.701416,3.333673954,29,8,5.178680112,0,2.866,0.505,0.427,0.625,0.674,0.696,0.153,0.279,0.167,1.309
2023-04-23 06:00:00,69,0.5,11,0.609826946,12.54907227,112,100640.5938,85.73300934,666.124939,3.657203913,32,10,5.238176376,0,2.879,0.456,0.451,0.57,0.671,0.631,0.167,0.33,0.158,1.258
2023-04-23 07:00:00,66,0.5,12,1.154740832,12.36709595,3576,100659.5781,85.18074799,662.8186035,4.033008099,29,9,5.297672639,0.023,2.415,0.522,0.621,0.623,0.691,0.626,0.234,0.322,0.171,1.257
2023-04-23 08:00:00,59,0.5,17,1.699654717,12.12948608,8432,100722.6641,85.92654419,620.3348389,4.384869099,24,8,5.357168902,0.026,3.058,0.37,0.593,0.629,1.095,0.648,0.195,0.359,0.178,1.259
2023-04-23 09:00:00,58,0.5,14,2.024237953,11.75991821,27024,100748.6797,88.55658722,588.1842041,4.416695118,22,7,5.438747849,0.031,3.162,0.489,0.592,0.589,0.793,0.623,0.157,0.328,0.164,1.181
2023-04-23 10:00:00,57,0.5,16,2.348821189,12.0977478,28296,100778.0156,90.37010956,567.1251831,4.452864647,20,7,5.520326795,0.031,2.951,0.233,0.603,0.635,0.795,0.617,0.094,0.311,0.128,1.172
2023-04-23 11:00:00,59,0.5,14,2.673404424,12.14767456,41304,100735.6484,92.08228302,546.8088989,4.437108994,15,8,5.601905741,0.023,3.114,0.437,0.526,0.531,1.088,0.579,0.348,0.267,0.163,1.153
2023-04-23 12:00:00,60,0.5,15,2.850925057,11.90475464,38464,100731.0156,92.60964966,526.8245239,3.939628839,10,8,5.665231887,0.029,2.809,0.565,0.56,0.733,1.145,0.618,0.29,0.276,0.106,1.16
2023-04-23 13:00:00,64,0.5,13,3.02844569,12.08306885,32136,100731.3047,92.00608826,447.5480042,3.393357992,6,8,5.728558032,0.02,3.108,0.416,0.429,0.461,0.536,0.584,0.229,0.241,0.103,1.105
2023-04-23 14:00:00,64,0.5,12,3.205966323,12.24829102,28224,100711.7344,90.64038849,441.3196411,3.293642521,5,6,5.791884178,0.019,3.654,0.452,0.443,0.533,0.869,0.584,0.198,0.278,0.101,1.073
2023-04-23 15:00:00,55,0.5,18,3.073821896,12.45346069,24224,100668.5078,88.98554993,449.4825134,3.012928963,6,7,5.601250299,0,3.03,0.452,0.504,0.511,1.001,0.578,0.176,0.281,0.13,1.135
2023-04-23 16:00:00,36,0.5,21,2.94167747,12.48306274,19256,100602.7656,88.13633728,465.1593933,3.027164221,6,6,5.410616419,0.012,3.187,0.586,0.538,0.525,1.303,0.552,0.141,0.262,0.098,1.138
2023-04-23 17:00:00,33,0.5,19,2.809533044,13.00683594,16864,100584.2031,87.44548035,459.2848816,3.045498848,10,8,5.21998254,0.024,3.453,0.492,0.462,0.497,1.007,0.521,0.255,0.286,0.109,1.091
2023-04-23 18:00:00,40,0.5,16,1.912325151,12.57983398,5568,100619.3906,86.68202209,517.2512207,2.907170534,9,8,4.836868811,0,3.294,0.352,0.379,0.47,1.115,0.524,0.227,0.33,0.086,1.093
2023-04-23 19:00:00,45,0.5,15,1.015117258,12.75805664,1688,100693.9375,87.41705322,480.584137,2.495780945,11,8,4.453755082,0,3.309,0.682,0.435,0.58,0.803,0.56,0.176,0.263,0.09,1.1
2023-04-23 20:00:00,42,0.5,16,0.117909366,12.96524048,0,100760.6875,88.08615112,432.6223145,2.254514217,15,7,4.070641353,0.02,3.649,0.34,0.448,0.611,1.353,0.556,0.166,0.231,0.093,1.069
2023-04-23 21:00:00,36,0.5,19,0.083018762,13.07925415,0,100847.9219,88.97841644,394.1429443,2.213498592,17,7,4.053383388,0,3.282,0.251,0.439,0.55,0.805,0.505,0.108,0.227,0.085,1.036
2023-04-23 22:00:00,38,0.5,19,0.048128158,12.98345947,0,100868.3984,91.15589142,401.6981506,2.353925228,19,9,4.036125423,0,3.187,0.355,0.439,0.399,1.163,0.527,0.119,0.229,0.097,1.03
2023-04-23 23:00:00,32,0.6,18,0.013237554,12.59555054,0,100881.3203,92.18917084,389.195343,2.313510895,12,6,4.018867457,0,3.4,0.312,0.467,0.519,0.868,0.565,0.194,0.332,0.118,1.099
2023-04-24 00:00:00,33,0.6,18,0.013611616,12.6065979,0,100883.4297,92.58348846,391.3648682,2.455530405,8,7,4.053975924,0.024,3.52,0.456,0.501,0.487,1.341,0.6,0.18,0.517,0.131,1.205
2023-04-24 01:00:00,37,0.6,16,0.013985678,12.52294922,0,100899.8281,92.21907806,399.3409424,2.859114408,10,9,4.08908439,0,3.631,0.313,0.549,0.517,1.013,0.536,0.089,0.282,0.12,1.098
2023-04-24 02:00:00,38,0.6,14,0.014359739,12.5319519,0,100876.25,92.56741333,426.8659668,2.853113174,13,7,4.124192856,0,3.549,0.211,0.466,0.407,1.212,0.517,0.131,0.257,0.116,1.05
2023-04-24 03:00:00,37,0.6,13,0.01451061,12.47320557,0,100883.3906,92.2419281,465.8942871,2.820679903,18,7,4.209765545,0,3.092,0.244,0.331,0.382,1.045,0.592,0.09,0.53,0.079,1.052
2023-04-24 04:00:00,35,0.6,12,0.014661481,12.44058228,0,100920.4219,92.28288269,586.5847778,3.185085297,11,8,4.295338234,0,3.32,0.226,0.436,0.372,1.203,0.545,0.139,0.228,0.08,0.919
2023-04-24 05:00:00,30,0.6,14,0.014812352,12.42648315,0,100963.4375,90.08355713,606.2103271,3.294377089,6,8,4.380910923,0,3.267,0.23,0.455,0.445,1.218,0.466,0.13,0.243,0.082,0.924
2023-04-24 06:00:00,27,0.7,16,0.620651866,12.72094727,208,101048.7969,87.09695435,631.1120605,3.656485558,8,8,4.405466825,0.018,3.277,0.228,0.454,0.405,1.187,0.48,0.149,0.265,0.096,0.977
2023-04-24 07:00:00,38,0.6,13,1.226491381,12.54263306,4040,101090.0859,86.59911346,603.6989746,3.55121541,9,7,4.430022727,0.017,3.235,0.264,0.496,0.428,0.913,0.498,0.258,0.293,0.125,1.002
2023-04-24 08:00:00,,,,1.832330895,12.23666382,10408,101126.5781,86.87039948,576.9729614,3.827546358,,,4.45457863,0,3.109,0.27,0.455,0.427,1.013,0.481,0.172,0.294,0.125,0.981
2023-04-24 09:00:00,,,,2.21364788,11.84106445,12752,101174.0469,89.01155853,585.6923828,4.079925537,,,4.577379817,,,,,,,,,,,
2023-04-24 10:00:00,,,,2.594964864,12.23989868,18472,101199.625,90.18215942,557.0182495,3.982609987,,,4.700181004,,,,,,,,,,,
2023-04-24 11:00:00,,,,2.976281849,12.00878906,46040,101234.5938,90.43160248,556.1172485,3.933861256,,,4.822982191,0,2.636,0.353,0.396,0.416,0.55,0.485,0.191,0.26,0.105,0.944
2023-04-24 12:00:00,,,,3.070766297,11.8263855,57064,101189.0078,90.28562164,533.4619751,4.038555622,,,4.783990638,0,2.408,0.172,0.392,0.399,0.881,0.466,0.111,0.206,0.077,0.856
2023-04-24 13:00:00,,,,3.165250746,12.57275391,35352,101090.9531,90.09233856,528.753479,4.176665306,,,4.744999084,0,2.869,0.314,0.41,0.425,0.657,0.452,0.182,0.251,0.067,0.88
2023-04-24 14:00:00,,,,3.259735195,12.73516846,50928,101005.7656,90.09817505,529.6387329,4.206165314,,,4.70600753,0,3.009,0.264,0.38,0.455,0.583,0.482,0.065,0.233,0.066,0.915
2023-04-24 15:00:00,,,,2.70541284,12.71051025,28528,100961.3828,89.85884857,545.6885376,3.991359711,,,4.483516022,0,2.73,0.136,0.322,0.315,0.672,0.483,0.054,0.199,0.059,0.9
2023-04-24 16:00:00,,,,2.151090484,12.64590454,20816,100910.8125,89.46871948,548.9296875,3.965710878,,,4.261024515,0,2.698,0.35,0.339,0.34,0.533,0.52,0.123,0.254,0.123,0.975
2023-04-24 17:00:00,,,,1.596768129,12.47808838,15488,100941.1172,89.58983612,574.3449707,3.75838232,,,4.038533007,0,2.636,0.158,0.344,0.374,0.559,0.533,0.043,0.407,0.224,0.988
2023-04-24 18:00:00,,,,1.07729805,11.956604,7312,100989.1563,89.99625397,554.1668091,3.660967588,,,4.056620734,0,2.692,0.291,0.298,0.366,0.693,0.53,0.315,0.251,0.065,0.987
2023-04-24 19:00:00,,,,0.557827972,12.13174438,1208,100992.3359,89.63047791,565.0620117,3.290095329,,,4.074708462,0,2.785,0.36,0.426,0.518,0.816,0.526,0.292,0.342,0.082,0.993
2023-04-24 20:00:00,80,0.4,11,0.038357893,12.28839111,0,101073.1719,88.93307495,573.5524902,3.350952148,19,8,4.092796189,0,2.359,0.273,0.323,0.408,0.452,0.553,0.114,0.303,0.07,1.028
2023-04-24 21:00:00,81,0.4,12,0.034837447,12.41363525,0,101092.3438,88.42592621,581.7042236,3.290677547,20,7,4.170696078,0,2.644,0.315,0.347,0.42,0.61,0.556,0.142,0.229,0.071,1.023
2023-04-24 22:00:00,81,0.4,10,0.031317001,12.35726929,0,101033.9844,87.99679565,572.4119263,3.181715012,20,6,4.248595966,0,3.009,0.436,0.362,0.464,0.711,0.556,0.282,0.209,0.076,1.067
2023-04-24 23:00:00,77,0.4,12,0.027796554,12.08551025,0,101018.0938,87.76135254,524.9918823,2.865958452,17,8,4.326495855,0,2.815,0,0.383,0.517,0.569,0.583,0.033,0.252,0.085,1.114
2023-04-25 00:00:00,77,0.4,11,0.025462779,12.15438843,0,100960.0781,87.24917603,490.8311768,2.656226397,16,8,4.407121348,0,2.469,0.152,0.331,0.42,0.466,0.559,0.074,0.268,0.088,1.074
